331,10097678
280,9916637
283,9755735
384,9417601
334,9317146
639,9295025
539,8921882
591,8796124
332,8788475
436,8771894
686,8732125
333,8598861
385,8207806
540,8103322
590,7971330
488,7202885
437,6937640
489,6794854
383,6585941
541,6536951
640,6463769
281,6455080
538,6176938
382,5967447
1637,5858673
592,5853412
486,5723434
435,5514075
282,5371764
284,5298221
685,5252998
638,5218737
487,5196948
687,5088725
769,5075434
589,5023267
728,4849807
803,4792762
330,4680018
279,4649622
641,4577775
434,4526324
688,4495097
768,4430341
802,4420193
335,4305184
729,4288215
731,4009048
767,3933913
770,3773838
730,3572491
804,3540816
806,3363095
830,3320627
485,3273365
386,3258147
801,3194470
807,3145369
438,3110492
537,3103627
832,3077741
831,3055882
490,3019735
381,2861112
542,2840900
808,2793963
260,2705182
588,2703733
593,2681613
805,2638799
261,2568796
637,2550848
433,2505848
684,2444209
309,2431538
800,2411648
642,2378117
411,2375504
771,2370349
689,2363777
360,2354366
766,2286851
776,2263091
513,2256180
773,2219087
775,2216969
727,2207572
809,2205785
703,2189746
310,2142699
732,2140402
833,2119041
743,2082902
461,2076249
774,2020775
410,2018457
659,1985697
834,1975802
285,1973908
512,1963998
778,1953017
702,1942284
853,1938620
563,1911736
262,1911164
612,1905794
359,1904890
311,1893312
259,1865078
536,1842595
779,1835533
829,1829267
742,1798141
336,1790804
484,1769506
587,1768569
777,1743595
852,1714834
744,1710503
704,1707999
658,1702609
460,1700118
387,1675127
564,1663715
562,1658600
491,1653052
439,1638318
613,1627554
412,1626121
308,1615782
543,1611112
741,1592280
810,1591317
636,1591180
772,1574672
683,1561730
660,1556139
462,1523673
514,1501207
643,1491934
736,1439380
726,1432519
690,1418806
828,1403016
799,1390056
740,1386649
765,1386216
733,1383593
380,1369956
594,1365416
835,1345158
361,1322864
701,1274943
432,1274487
329,1263537
737,1256681
1811,1249901
739,1230798
511,1230630
635,1226514
409,1180134
561,1176751
358,1164433
780,1164132
738,1143320
278,1141086
586,1132632
1701,1123665
682,1110685
700,1103066
1810,1102239
745,1098056
459,1094960
854,1087275
725,1063961
535,1061498
811,1058953
851,1054455
657,1051484
544,1048626
483,1047781
1742,1047038
798,1037235
1743,1036951
691,1035597
1806,1028244
868,1024215
611,1023679
661,1019854
734,1017824
388,1006301
610,1002306
1777,1001667
644,1001566
836,999461
705,989990
695,985643
614,984611
827,978531
565,966753
258,966518
1702,963061
337,958504
764,956243
699,949118
413,940473
681,939408
634,938269
515,927048
656,917617
1657,912958
724,911762
595,907065
440,904408
1656,904282
698,904192
463,898552
328,885415
1812,876923
286,870437
492,868892
1778,868142
735,865987
662,852038
277,851095
855,846106
534,834900
706,834543
431,830398
1776,824900
837,821709
1609,814782
585,814489
1700,813797
692,812136
781,808499
746,807594
850,807117
645,805993
379,798635
763,794314
312,793375
797,786141
680,781062
362,780897
694,780335
856,775648
545,773896
723,773494
596,772791
307,771676
1741,770604
762,764615
458,761469
696,753707
482,747342
826,746839
615,746473
697,743242
1779,735713
633,735427
1775,732210
812,730171
560,729283
849,722542
464,719698
796,716542
510,713328
1537,709638
867,704289
1655,688635
825,680526
338,679705
1782,679546
1608,676999
722,673179
566,670396
516,664307
1607,657888
533,657187
327,655260
651,654895
679,654406
1780,651030
1744,649610
257,649283
584,648865
263,645860
655,644965
761,641699
646,638743
493,637988
597,637617
782,637008
795,633307
389,630437
1703,629979
441,621182
866,620348
276,617210
609,616544
608,616483
707,615561
546,608235
481,604259
1658,601277
848,595980
414,594285
378,591815
357,591550
648,591174
1781,590129
824,589930
1559,587859
663,585693
693,582805
1740,582697
287,579052
653,577467
654,571686
747,571145
865,570655
1773,566149
567,564691
430,562283
857,558925
616,557246
647,555761
1772,554751
838,554720
457,553808
813,553622
678,551145
632,541885
1699,540894
721,534265
649,530934
652,530372
583,525793
408,525412
794,518889
532,517222
1738,511325
1739,509726
601,508046
1732,505440
480,504561
760,503440
494,502943
600,502876
650,501143
363,494986
326,494444
607,492496
748,487572
306,483010
377,481991
847,478468
339,477299
509,476852
313,474125
823,473844
406,471342
720,471052
390,470221
814,469271
442,469082
427,466148
783,465819
708,465416
793,462828
1654,461357
677,460937
759,459643
864,459245
275,458109
1737,453477
479,453200
407,453104
839,452954
858,450171
792,449978
531,447808
631,443983
1735,439936
559,439447
264,439184
429,433729
1688,433720
1698,432581
719,430878
676,427639
582,427515
599,425217
547,418494
749,417110
517,416735
784,415755
