280,9916637
384,9417601
639,9295025
591,8796124
436,8771894
333,8598861
540,8103322
488,7202885
489,6794854
541,6536951
281,6455080
382,5967447
592,5853412
435,5514075
284,5298221
638,5218737
687,5088725
589,5023267
803,4792762
279,4649622
434,4526324
768,4430341
335,4305184
731,4009048
770,3773838
804,3540816
830,3320627
386,3258147
807,3145369
537,3103627
831,3055882
381,2861112
808,2793963
588,2703733
805,2638799
637,2550848
684,2444209
800,2411648
411,2375504
689,2363777
766,2286851
513,2256180
775,2216969
809,2205785
310,2142699
833,2119041
461,2076249
410,2018457
834,1975802
512,1963998
702,1942284
563,1911736
612,1905794
311,1893312
536,1842595
829,1829267
336,1790804
587,1768569
852,1714834
704,1707999
460,1700118
564,1663715
491,1653052
613,1627554
308,1615782
741,1592280
636,1591180
683,1561730
462,1523673
643,1491934
726,1432519
828,1403016
740,1386649
733,1383593
594,1365416
361,1322864
432,1274487
737,1256681
739,1230798
635,1226514
561,1176751
780,1164132
278,1141086
1701,1123665
700,1103066
745,1098056
854,1087275
535,1061498
851,1054455
544,1048626
1742,1047038
1743,1036951
1806,1028244
611,1023679
734,1017824
610,1002306
644,1001566
705,989990
614,984611
565,966753
1702,963061
764,956243
413,940473
634,938269
656,917617
724,911762
440,904408
698,904192
328,885415
286,870437
1778,868142
662,852038
855,846106
706,834543
1776,824900
1609,814782
1700,813797
781,808499
850,807117
379,798635
312,793375
680,781062
694,780335
545,773896
596,772791
1741,770604
458,761469
482,747342
615,746473
1779,735713
1775,732210
560,729283
464,719698
510,713328
867,704289
825,680526
1782,679546
722,673179
516,664307
533,657187
651,654895
1780,651030
257,649283
263,645860
761,641699
493,637988
782,637008
389,630437
441,621182
276,617210
608,616483
546,608235
1658,601277
414,594285
357,591550
1781,590129
1559,587859
693,582805
287,579052
654,571686
865,570655
567,564691
857,558925
647,555761
838,554720
813,553622
632,541885
721,534265
652,530372
408,525412
532,517222
1739,509726
1732,505440
760,503440
600,502876
363,494986
607,492496
306,483010
847,478468
509,476852
823,473844
720,471052
814,469271
427,466148
708,465416
1654,461357
759,459643
275,458109
479,453200
839,452954
792,449978
631,443983
559,439447
429,433729
1698,432581
676,427639
599,425217
749,417110
784,415755
465,414947
1606,413733
598,412589
288,409180
1736,407323
581,400548
630,399799
376,399070
869,397857
604,394458
325,391741
718,389511
785,387489
415,385555
466,384793
863,384451
815,382748
356,375807
750,375059
416,372455
791,368485
314,366905
757,366419
1689,363730
1745,361657
629,358919
1653,355995
717,354454
786,353456
355,352841
666,351795
756,350163
603,348079
619,346452
553,345968
478,345768
624,343643
519,340939
528,339939
456,338796
710,337729
816,336359
751,335377
618,334080
1704,332303
820,330733
819,330488
1556,328757
324,327748
375,326955
790,326006
289,325211
752,324908
273,322991
468,321795
552,320290
714,319123
841,318685
870,317339
755,317007
673,314866
626,313792
715,312887
236,309632
576,309508
627,308635
426,306064
668,304801
556,303289
753,301968
579,301321
625,300490
265,300212
392,298842
818,297811
577,297617
508,296214
500,294719
672,292200
499,291285
501,290673
670,284325
669,284109
341,283684
315,280707
861,278068
452,277005
448,276298
620,274914
1813,273038
445,270905
449,269110
256,268345
349,267362
350,264267
1690,261306
507,259984
1555,257203
304,257068
505,255476
520,254560
571,252785
403,250852
321,248688
871,247575
527,246917
1694,242553
446,241174
342,240955
290,239768
322,237629
455,236172
524,235171
1605,234461
267,233736
423,231736
474,231507
371,230543
394,228537
422,226616
343,224630
1774,223426
1560,222845
352,221648
469,221112
573,220643
522,220138
1691,219513
1705,218600
1652,215585
320,215472
268,213986
1824,213235
369,212016
368,210963
874,210276
255,207684
302,204820
419,200837
270,200475
420,198101
472,197428
348,195683
344,193313
1804,190953
1649,188825
1645,186929
1650,183594
301,179128
1644,174647
294,172304
873,167365
1643,165775
1613,164781
293,164186
296,157055
1611,155005
297,148812
298,146729
1706,144826
1597,142561
234,139602
252,138189
245,130114
237,128316
1595,119560
1646,118126
1554,115545
1601,114091
1602,111092
247,110801
1599,108675
250,103956
248,103281
1545,98940
1707,94272
1814,78703
212,70919
1748,61609
1549,60387
881,55520
211,50111
1547,47228
213,44105
232,43115
1494,40526
1493,33388
208,31954
1662,31555
1665,27325
243,23340
242,19448
206,17908
1553,11704
224,10550
244,9665
204,8184
200,7140
203,6503
219,2402
201,1543
1710,631
